"","model_S$FREQUENCY","V2","V3"
"803",2,38.71,-90.67
"804",2,38.79,-90.58
"805",2,39.09,-93.21
"806",2,38.55,-91
"807",2,38.69,-91.45
"808",2,38.53,-93.52
"809",2,39.19,-93.88
"810",2,39.26,-93.96
"811",2,38.51,-90.38
"812",2,39.33,-82.12
"813",2,39.51,-84.74
"814",2,39.36,-74.43
"815",2,39.48,-74.54
"816",2,39.45,-75.06
"817",2,39.45,-75.05
"818",2,39.19,-84.54
"819",2,39.21,-84.38
"820",2,39.12,-84.51
"821",2,39.14,-84.51
"822",2,39.53,-119.77
"823",2,38.85,-76.99
"824",2,38.89,-77
"825",2,39.4,-82.97
"826",2,39.4,-119.28
"827",2,39.31,-85.22
"828",2,39.11,-84.88
"829",2,38.66,-87.16
"830",2,39.44,-119.76
"831",2,39.49,-87.41
"832",2,39.29,-76.65
"833",2,39.26,-76.72
"834",2,39.43,-86.4
"835",2,39.2,-119.78
"836",2,38.64,-90.26
"837",2,39.42,-77.41
"838",2,39.33,-80.24
"839",2,38.74,-88.08
"840",2,38.74,-89.95
"841",2,39.15,-89.48
"842",2,39.05,-95.7
"843",2,39.1,-77.2
"844",2,39.18,-77.24
"845",2,38.99,-77
"846",2,39.55,-83.43
"847",2,39.14,-84.5
"848",2,39.19,-96.06
"849",2,38.64,-99.93
"850",2,38.54,-122.47
"851",2,38.57,-121.45
"852",2,38.55,-121.46
"853",2,38.93,-77.02
"854",2,38.9,-77.05
"855",2,39.56,-105.01
"856",2,39.12,-94.79
"857",2,39.3,-76.59
"858",2,39.01,-84.57
"859",2,38.84,-104.8
"860",2,39.31,-76.71
"861",2,39.52,-76.35
"862",2,38.97,-94.57
"863",2,39.03,-94.47
"864",2,38.65,-90.45
"865",2,38.49,-90.28
"866",2,38.94,-92.74
"867",2,38.75,-90.43
"868",2,38.69,-90.31
"869",2,39.15,-94.55
"870",2,38.89,-75.39
"871",2,38.93,-83.58
"872",2,39.08,-84.14
"873",2,39.53,-119.78
"874",2,39.62,-86.09
"875",2,38.75,-85.4
"876",2,39.54,-119.8
"877",2,39.54,-119.7
"878",2,39.27,-94.42
"879",2,39.09,-84.35
"880",2,38.61,-86.11
"881",2,39.12,-83
"882",2,39.01,-85.64
"883",2,38.74,-77.08
"884",2,39.08,-84.47
"885",2,38.54,-106.01
"886",2,38.64,-90.45
"887",2,39.3,-102.27
"888",2,39.43,-123.8
"889",2,38.73,-120.8
"890",2,38.63,-121.35
"891",2,39.14,-103.47
"892",2,38.64,-121.36
"893",2,38.68,-121.16
"894",2,39.13,-121.61
"895",2,39.16,-121.62
"896",2,38.94,-104.71
"897",2,38.56,-121.77
"898",2,38.95,-121.1
"899",2,39.39,-123.34
"900",2,38.91,-120
"901",2,38.55,-121.41
"902",2,39.58,-104.99
"903",2,38.94,-77.11
"904",2,39.36,-101.71
"905",2,39.35,-100.43
